_id,year,month,date,time,location,indicator,unit,value,note
2719,2023,January,01-01-2023,11:00,MALAKPET,Toluene,ug/m3,1.64,
2720,2023,January,01-01-2023,11:00,MALAKPET,CO,mg/m3,0.45,
2721,2023,January,01-01-2023,11:00,MALAKPET,Xylene,ug/m3,3.16,
2722,2023,January,01-01-2023,11:00,MALAKPET,PM10,ug/m3,69.45,
2948,2023,January,01-01-2023,12:00,MALAKPET,MP-Xylene,ug/m3,5.07,
2949,2023,January,01-01-2023,12:00,MALAKPET,Ozone,ug/m3,15.35,
2950,2023,January,01-01-2023,12:00,MALAKPET,Benzene,ug/m3,0.99,
2951,2023,January,01-01-2023,12:00,MALAKPET,Toluene,ug/m3,1.64,
2952,2023,January,01-01-2023,12:00,MALAKPET,ETHBENZ,ug/m3,3.6,
2953,2023,January,01-01-2023,12:00,MALAKPET,CO,mg/m3,0.5,
2954,2023,January,01-01-2023,12:00,MALAKPET,NOx,ppb,14.7,
2955,2023,January,01-01-2023,12:00,MALAKPET,SO2,ug/m3,9.89,
2956,2023,January,01-01-2023,12:00,MALAKPET,NO,ug/m3,9.41,
2957,2023,January,01-01-2023,12:00,MALAKPET,NO2,ug/m3,5.4,
2958,2023,January,01-01-2023,12:00,MALAKPET,PM10,ug/m3,66.49,
2959,2023,January,01-01-2023,12:00,MALAKPET,NH3,ug/m3,10.99,
2960,2023,January,01-01-2023,12:00,MALAKPET,PM2.5,ug/m3,42.97,
2961,2023,January,01-01-2023,12:00,MALAKPET,Xylene,ug/m3,3.19,
2962,2023,January,01-01-2023,12:00,MALAKPET,Temp,degreC,26.33,
2963,2023,January,01-01-2023,12:00,MALAKPET,RH,%,38.74,
2964,2023,January,01-01-2023,12:00,MALAKPET,SR,W/m2,253.9,
2965,2023,January,01-01-2023,12:00,MALAKPET,WS,m/s,0.06,
2966,2023,January,01-01-2023,12:00,MALAKPET,WD,DEGREE,144.99,
3192,2023,January,01-01-2023,13:00,MALAKPET,NO2,ug/m3,5.43,
3193,2023,January,01-01-2023,13:00,MALAKPET,WD,DEGREE,133.95,
