_id,year,month,date,time,location,indicator,unit,value,note
3348,2023,August,01-08-2023,16:00,MALAKPET,RH,%,60.82,
3349,2023,August,01-08-2023,16:00,MALAKPET,WD,DEGREE,123.3,
3350,2023,August,01-08-2023,16:00,MALAKPET,WS,m/s,0.03,
3351,2023,August,01-08-2023,16:00,MALAKPET,RF,m m,0,
3352,2023,August,01-08-2023,16:00,MALAKPET,Temp,degreC,29.1,
3584,2023,August,01-08-2023,17:00,MALAKPET,PM10,ug/m3,67.74,
3585,2023,August,01-08-2023,17:00,MALAKPET,NO2,ug/m3,7.4,
3586,2023,August,01-08-2023,17:00,MALAKPET,NOx,ppb,11.64,
3587,2023,August,01-08-2023,17:00,MALAKPET,CO,mg/m3,0.76,
3588,2023,August,01-08-2023,17:00,MALAKPET,NO,ug/m3,4.23,
3589,2023,August,01-08-2023,17:00,MALAKPET,SO2,ug/m3,8.85,
3590,2023,August,01-08-2023,17:00,MALAKPET,PM2.5,ug/m3,34.5,
3591,2023,August,01-08-2023,17:00,MALAKPET,MP-Xylene,ug/m3,1.74,
3592,2023,August,01-08-2023,17:00,MALAKPET,Ozone,ug/m3,12.64,
3593,2023,August,01-08-2023,17:00,MALAKPET,Benzene,ug/m3,0.96,
3594,2023,August,01-08-2023,17:00,MALAKPET,ETHBENZ,ug/m3,2.45,
3595,2023,August,01-08-2023,17:00,MALAKPET,Xylene,ug/m3,2.04,
3596,2023,August,01-08-2023,17:00,MALAKPET,RH,%,61.73,
3597,2023,August,01-08-2023,17:00,MALAKPET,WD,DEGREE,97.96,
3598,2023,August,01-08-2023,17:00,MALAKPET,NH3,ug/m3,10.58,
3599,2023,August,01-08-2023,17:00,MALAKPET,Temp,degreC,28.79,
3600,2023,August,01-08-2023,17:00,MALAKPET,WS,m/s,0.03,
3601,2023,August,01-08-2023,17:00,MALAKPET,SR,W/m2,234.1,
3602,2023,August,01-08-2023,17:00,MALAKPET,RF,m m,0,
3603,2023,August,01-08-2023,17:00,MALAKPET,Toluene,ug/m3,1.12,
3835,2023,August,01-08-2023,18:00,MALAKPET,WD,DEGREE,113.75,
3836,2023,August,01-08-2023,18:00,MALAKPET,ETHBENZ,ug/m3,2.4,
3837,2023,August,01-08-2023,18:00,MALAKPET,WS,m/s,0.03,
3838,2023,August,01-08-2023,18:00,MALAKPET,Toluene,ug/m3,1.11,
3839,2023,August,01-08-2023,18:00,MALAKPET,Temp,degreC,28.06,
